"","Sample","Unique.Exome.Reads","Prod.Reads","Sample.Type","CapPool","CapRounds","Shot.PercEnd","SampPercEnd.log","SampPercEnd.log.z","Prod.Reads.z"
"1","N12304",5428188.125,20,"Fecal",6,"2",10.25958639,2.328212526,0.110349206,1.473668114
"2","N12304",2527996.038,5,"Fecal",6,"2",10.25958639,2.328212526,0.110349206,-1.126922675
"3","N12304",3398426.439,8,"Fecal",6,"2",10.25958639,2.328212526,0.110349206,-0.606804518
"4","N12304",4603569.855,14,"Fecal",6,"2",10.25958639,2.328212526,0.110349206,0.433431798
"5","N12304",4760839.043,15,"Fecal",6,"2",10.25958639,2.328212526,0.110349206,0.606804518
"8","N12304",4066895.953,11,"Fecal",6,"2",10.25958639,2.328212526,0.110349206,-0.08668636
"12","N12304",1274619.623,2,"Fecal",6,"2",10.25958639,2.328212526,0.110349206,-1.647040833
"14","N12304",5050088.927,17,"Fecal",6,"2",10.25958639,2.328212526,0.110349206,0.953549956
"17","N14222",2279238.908,15,"Fecal",10,"2",4.205760526,1.436455139,-1.264881497,0.606804518
"18","N14222",2079229.99,11,"Fecal",10,"2",4.205760526,1.436455139,-1.264881497,-0.08668636
"19","N14222",2236452.102,14,"Fecal",10,"2",4.205760526,1.436455139,-1.264881497,0.433431798
"20","N14222",2442681.323,20,"Fecal",10,"2",4.205760526,1.436455139,-1.264881497,1.473668114
"21","N14222",1862417.551,8,"Fecal",10,"2",4.205760526,1.436455139,-1.264881497,-0.606804518
"22","N14222",911993.6152,2,"Fecal",10,"2",4.205760526,1.436455139,-1.264881497,-1.647040833
"24","N14222",1527401.164,5,"Fecal",10,"2",4.205760526,1.436455139,-1.264881497,-1.126922675
"28","N14222",2353160.739,17,"Fecal",10,"2",4.205760526,1.436455139,-1.264881497,0.953549956
"33","N14910",4663937.099,14,"Fecal",5,"1",11.91136942,2.477493357,0.34056382,0.433431798
"34","N14910",3369187.85,8,"Fecal",5,"1",11.91136942,2.477493357,0.34056382,-0.606804518
"36","N14910",4091681.478,11,"Fecal",5,"1",11.91136942,2.477493357,0.34056382,-0.08668636
"37","N14910",4831325.137,15,"Fecal",5,"1",11.91136942,2.477493357,0.34056382,0.606804518
"39","N14910",2428044.981,5,"Fecal",5,"1",11.91136942,2.477493357,0.34056382,-1.126922675
"40","N14910",5514124.333,20,"Fecal",5,"1",11.91136942,2.477493357,0.34056382,1.473668114
"42","N14910",5129237.059,17,"Fecal",5,"1",11.91136942,2.477493357,0.34056382,0.953549956
"46","N14910",1145036.858,2,"Fecal",5,"1",11.91136942,2.477493357,0.34056382,-1.647040833
"49","N15105",1549744.729,8,"Fecal",11,"2",2.813650418,1.034482721,-1.884786438,-0.606804518
"50","N15105",1289932.454,5,"Fecal",11,"2",2.813650418,1.034482721,-1.884786438,-1.126922675
"51","N15105",1845632.759,14,"Fecal",11,"2",2.813650418,1.034482721,-1.884786438,0.433431798
"52","N15105",1879629.586,15,"Fecal",11,"2",2.813650418,1.034482721,-1.884786438,0.606804518
"54","N15105",2013602.347,20,"Fecal",11,"2",2.813650418,1.034482721,-1.884786438,1.473668114
"55","N15105",1721587.26,11,"Fecal",11,"2",2.813650418,1.034482721,-1.884786438,-0.08668636
"58","N15105",1939601.265,17,"Fecal",11,"2",2.813650418,1.034482721,-1.884786438,0.953549956
"62","N15105",804053.4783,2,"Fecal",11,"2",2.813650418,1.034482721,-1.884786438,-1.647040833
"65","N15113",2035188.443,5,"Fecal",10,"2",4.980867746,1.605604122,-1.004027056,-1.126922675
"66","N15113",3339804.105,15,"Fecal",10,"2",4.980867746,1.605604122,-1.004027056,0.606804518
"67","N15113",3263324.911,14,"Fecal",10,"2",4.980867746,1.605604122,-1.004027056,0.433431798
"68","N15113",2595345.432,8,"Fecal",10,"2",4.980867746,1.605604122,-1.004027056,-0.606804518
"71","N15113",3654219.612,20,"Fecal",10,"2",4.980867746,1.605604122,-1.004027056,1.473668114
"72","N15113",3478350.42,17,"Fecal",10,"2",4.980867746,1.605604122,-1.004027056,0.953549956
"73","N15113",2978198.255,11,"Fecal",10,"2",4.980867746,1.605604122,-1.004027056,-0.08668636
"74","N15113",1120213.736,2,"Fecal",10,"2",4.980867746,1.605604122,-1.004027056,-1.647040833
"81","N15304",4742455.3,15,"Fecal",7,"1",8.361281535,2.123611709,-0.205177561,0.606804518
"82","N15304",3293754.211,8,"Fecal",7,"1",8.361281535,2.123611709,-0.205177561,-0.606804518
"83","N15304",4578466.46,14,"Fecal",7,"1",8.361281535,2.123611709,-0.205177561,0.433431798
"84","N15304",1112300.986,2,"Fecal",7,"1",8.361281535,2.123611709,-0.205177561,-1.647040833
"86","N15304",2368254.794,5,"Fecal",7,"1",8.361281535,2.123611709,-0.205177561,-1.126922675
"87","N15304",5433677.835,20,"Fecal",7,"1",8.361281535,2.123611709,-0.205177561,1.473668114
"88","N15304",4008338.988,11,"Fecal",7,"1",8.361281535,2.123611709,-0.205177561,-0.08668636
"92","N15304",5045035.056,17,"Fecal",7,"1",8.361281535,2.123611709,-0.205177561,0.953549956
"97","N15410",3981503.375,8,"Fecal",2,"2",19.70307287,2.980774607,1.116702977,-0.606804518
"98","N15410",5564206.363,14,"Fecal",2,"2",19.70307287,2.980774607,1.116702977,0.433431798
"99","N15410",4849119.292,11,"Fecal",2,"2",19.70307287,2.980774607,1.116702977,-0.08668636
"100","N15410",5774187.489,15,"Fecal",2,"2",19.70307287,2.980774607,1.116702977,0.606804518
"101","N15410",2881849.35,5,"Fecal",2,"2",19.70307287,2.980774607,1.116702977,-1.126922675
