TOTAL_READS,EXPECTED_DISTINCT,LOWER_0.95CI,UPPER_0.95CI
0,0,0,0
1000000,954354,953886.6,954821.7
2000000,1838603.5,1837568.9,1839638.7
3000000,2664582.3,2662905,2666260.7
4000000,3439426.6,3436997.8,3441857.1
5000000,4168783.3,4165435.8,4172133.6
6000000,4857219,4852598.9,4861843.6
7000000,5508494.2,5500682.4,5516317.2
8000000,6125867.4,6113427.5,6138332.7
9000000,6711871.7,6695089.4,6728696.1
10000000,7269186.8,7247170.4,7291270
11000000,7800363.3,7771586.2,7829246.9
12000000,8306867.5,8269565.2,8344338.1
13000000,8791133.6,8743460,8839067.2
14000000,9253991.6,9194117.2,9314255.9
15000000,9696861.7,9623045.2,9771244.5
16000000,10121192.8,10031828.9,10211352.7
17000000,10527955.6,10421601.5,10635395
18000000,10918125.3,10793508.9,11044180.4
19000000,11292945.3,11148961.4,11438788.8
20000000,11653318.6,11489016.6,11819970.3
21000000,12000137.8,11814706.3,12188479.6
22000000,12334604.9,12127354.6,12545397.1
23000000,12656979.8,12427326.8,12890876.8
24000000,12967968.7,12715419.6,13225533.8
25000000,13268559.5,12992698.3,13550277.7
26000000,13558904.2,13259380.8,13865193.8
27000000,13839524.8,13516045,14170746.5
28000000,14110703.6,13763021.5,14467169
29000000,14372887.2,14000797.9,14754865.2
30000000,14626690.3,14230024.7,15034413
31000000,14872511.4,14451131.2,15306178.7
32000000,15110724,14664517.5,15570507.6
33000000,15340644.4,14869524,15826691.6
34000000,15563573.1,15067471.4,16076009
35000000,15779851,15258719.2,16318781.2
36000000,15989772.3,15443577.3,16555284.7
37000000,16194079.1,15622802.2,16786245.7
38000000,16393078.5,15796713.9,17011957.3
39000000,16586525.3,15965078.9,17232161.7
40000000,16774649.5,16128137.8,17447077.3
41000000,16957639.4,16286088.1,17656881.9
42000000,17135605.4,16439049,17861676.4
43000000,17308865,16587345.5,18061769.3
44000000,17477603.1,16731169.4,18257337.6
45000000,17641994.8,16870702.5,18448549
46000000,17802206.6,17006116.7,18635563
47000000,17958396.1,17137575.1,18818531.2
48000000,18110713.5,17265232.6,18997597.7
49000000,18259301.3,17389236.1,19172899.9
50000000,18404295.1,17509725.3,19344568.3
51000000,18545824.1,17626833,19512727.7
52000000,18684011.3,17740685.5,19677496.6
53000000,18818973.8,17851403,19838988.4
54000000,18950742.4,17959019,19997230.1
55000000,19079237.5,18063457,20152139.3
56000000,19204827.5,18165087.2,20304080.8
57000000,19327610,18264009.4,20453149.2
58000000,19447678.2,18360318.5,20599435.1
59000000,19565121.3,18454105.6,20743024.9
60000000,19680024.4,18545457.3,20884001.7
61000000,19792469.2,18634456.7,21022444.8
62000000,19902533.9,18721183.3,21158430.5
63000000,20010293.2,18805713,21292031.6
64000000,20115819,18888118.5,21423318.2
65000000,20219180,18968469.7,21552357.5
66000000,20320442.3,19046833.2,21679214
67000000,20419669.1,19123273.2,21803949.6
68000000,20516921.2,19197851,21926623.8
69000000,20612257.2,19270625.5,22047294
70000000,20705733.1,19341653.4,22166015.1
71000000,20797402.8,19410988.9,22282840.1
72000000,20887318.3,19478684.3,22397820
73000000,20975529.4,19544789.8,22511003.7
74000000,21062084.3,19609353.4,22622438.7
75000000,21147029.1,19672421.6,22732170.4
76000000,21230408.4,19734038.9,22840242.8
77000000,21312265.1,19794248.4,22946698.1
78000000,21392640.5,19853091.3,23051577.3
79000000,21471574.6,19910607.4,23154919.6
80000000,21549105.7,19966835.1,23256763.2
81000000,21625271,20021811.3,23357144.8
82000000,21700106.3,20075571.7,23456099.8
83000000,21773646.1,20128150.4,23553662.6
84000000,21845923.8,20179580.8,23649866.1
85000000,21916971.5,20229894.7,23744742.6
86000000,21986820.6,20279122.9,23838322.9
87000000,22055501,20327295.2,23930637.1
88000000,22123041.9,20374440.4,24021714
89000000,22189471.3,20420586.3,24111581.9
90000000,22254816.6,20465759.6,24200267.9
91000000,22319104.1,20509986.2,24287798.2
92000000,22382359.2,20553291.3,24374198.5
93000000,22444606.6,20595699.1,24459493.4
94000000,22505870.3,20637232.9,24543706.9
95000000,22566173.3,20677915.6,24626862.2
96000000,22625538.1,20717768.9,24708981.9
97000000,22683986.5,20756814.1,24790087.8
98000000,22741539.5,20795071.8,24870201.1
99000000,22798217.5,20832561.8,24949342.5
100000000,22854040.3,20869303.5,25027531.8
101000000,22909027.2,20905315.5,25104788.6
102000000,22963196.8,20940615.9,25181131.7
103000000,23016567.2,20975222.3,25256579.3
104000000,23069155.9,21009151.5,25331149.3
105000000,23120980.1,21042420.2,25404859.1
106000000,23172056.2,21075044.2,25477725.3
107000000,23222400.4,21107039.1,25549764.5
108000000,23272028.2,21138420,25620992.4
109000000,23320954.9,21169201.3,25691424.6
110000000,23369195.3,21199397.3,25761076.1
111000000,23416763.6,21229021.7,25829961.6
112000000,23463673.8,21258087.9,25898095.3
113000000,23509939.5,21286608.8,25965491.2
114000000,23555573.9,21314597,26032162.8
115000000,23600589.8,21342064.8,26098123.3
116000000,23644999.7,21369023.9,26163385.5
117000000,23688815.8,21395486.1,26227961.9
118000000,23732049.9,21421462.4,26291864.7
119000000,23774713.5,21446963.8,26355105.8
120000000,23816817.8,21472000.9,26417696.9
121000000,23858373.8,21496584,26479649.1
122000000,23899392.2,21520723.2,26540973.6
123000000,23939883.2,21544428.2,26601681
124000000,23979857,21567708.5,26661782
125000000,24019323.5,21590573.3,26721286.7
126000000,24058292.2,21613031.7,26780205.1
127000000,24096772.5,21635092.4,26838547
128000000,24134773.5,21656763.8,26896321.9
129000000,24172304.1,21678054.4,26953539.1
130000000,24209373.1,21698972.2,27010207.7
131000000,24245988.8,21719525,27066336.6
132000000,24282159.6,21739720.6,27121934.4
133000000,24317893.5,21759566.3,27177009.7
134000000,24353198.4,21779069.5,27231570.7
135000000,24388081.9,21798237.2,27285625.5
136000000,24422551.5,21817076.4,27339182
137000000,24456614.7,21835593.9,27392248
138000000,24490278.5,21853796,27444831
139000000,24523549.9,21871689.4,27496938.5
140000000,24556435.7,21889280.2,27548577.6
141000000,24588942.6,21906574.4,27599755.5
142000000,24621077.1,21923578.2,27650479
143000000,24652845.6,21940297.1,27700755.1
144000000,24684254.3,21956737,27750590.2
145000000,24715309.3,21972903.3,27799991
146000000,24746016.5,21988801.3,27848963.8
147000000,24776381.7,22004436.5,27897514.7
148000000,24806410.6,22019813.8,27945649.9
149000000,24836108.8,22034938.3,27993375.5
150000000,24865481.7,22049814.9,28040697.1
151000000,24894534.6,22064448.3,28087620.6
152000000,24923272.7,22078843.2,28134151.6
153000000,24951701.1,22093004.2,28180295.6
154000000,24979824.8,22106935.8,28226057.9
155000000,25007648.7,22120642.1,28271443.9
156000000,25035177.5,22134127.6,28316458.8
157000000,25062415.9,22147396.4,28361107.5
158000000,25089368.5,22160452.4,28405395.2
159000000,25116039.7,22173299.8,28449326.7
160000000,25142433.9,22185942.2,28492906.8
161000000,25168555.5,22198383.7,28536140.1
162000000,25194408.6,22210627.7,28579031.4
163000000,25219997.4,22222678,28621585
164000000,25245325.8,22234538,28663805.5
165000000,25270397.8,22246211.3,28705697.2
166000000,25295217.4,22257701.3,28747264.4
167000000,25319788.3,22269011.1,28788511.3
168000000,25344114.2,22280144.2,28829441.9
169000000,25368198.7,22291103.6,28870060.3
170000000,25392045.5,22301892.4,28910370.6
171000000,25415658.1,22312513.8,28950376.5
172000000,25439039.8,22322970.5,28990081.9
173000000,25462194,22333265.6,29029490.7
174000000,25485124.2,22343401.9,29068606.3
175000000,25507833.4,22353382.2,29107432.5
176000000,25530324.9,22363209.1,29145972.9
177000000,25552601.7,22372885.5,29184230.9
178000000,25574667.1,22382413.8,29222210
179000000,25596523.8,22391796.6,29259913.5
180000000,25618174.9,22401036.4,29297344.8
181000000,25639623.4,22410135.8,29334507.1
182000000,25660871.9,22419097,29371403.6
183000000,25681923.3,22427922.4,29408037.5
184000000,25702773.1,22436607.2,29444404.7
185000000,25723427.7,22445157.4,29480512.1
