TOTAL_READS,EXPECTED_DISTINCT,LOWER_0.95CI,UPPER_0.95CI
0,0,0,0
1000000,817837,817343.6,818330.7
2000000,1395195,1394082.7,1396308.2
3000000,1828133,1826326.3,1829941.5
4000000,2165401.6,2162582.5,2168224.3
5000000,2435584.6,2430578.9,2440600.7
6000000,2657089.2,2647064.7,2667151.7
7000000,2842288.7,2824740.7,2859945.7
8000000,2998966.9,2971452.6,3026736.1
9000000,3133701.8,3094874.6,3173016.1
10000000,3250731.7,3200503.4,3301748.3
11000000,3353210.3,3291886.5,3415676.5
12000000,3443636.8,3371593.5,3517219.4
13000000,3524286.9,3442043.1,3608495.9
14000000,3596485.9,3504736.5,3690637.2
15000000,3661358.3,3560932.4,3764616.4
16000000,3720134.8,3611929.9,3831581.2
17000000,3773611.4,3658531.4,3892311.2
18000000,3822474.2,3701381.4,3947528.6
19000000,3867295.7,3740979.7,3997876.8
20000000,3908557.5,3777719.8,4043926.7
21000000,3946667.6,3811917.9,4086180.7
22000000,3982023,3843883,4125127.5
23000000,4014988.1,3873899.7,4161214.9
24000000,4045695.3,3902030.8,4194649.1
25000000,4074369,3928441.1,4225717.7
26000000,4101204.9,3953275.6,4254669.6
27000000,4126260.8,3976550.6,4281607.4
28000000,4149786.7,3998481,4306817.9
29000000,4171936.5,4019192.1,4330485.7
30000000,4192827.3,4038777.2,4352753.4
31000000,4212563.7,4057321.3,4373746.1
32000000,4231238.8,4074901.2,4393574.4
33000000,4248935.9,4091586.9,4412336.1
34000000,4265729.9,4107442,4430117.8
35000000,4281688.3,4122524.5,4446997
36000000,4296871.8,4136887.6,4463043
37000000,4311335.6,4150579.7,4478317.7
38000000,4325129.7,4163645.2,4492877.2
39000000,4338299.5,4176124.9,4506771.9
40000000,4350886.5,4188056.2,4520047.6
41000000,4362928.6,4199473.5,4532745.8
42000000,4374460.3,4210408.4,4544904.3
43000000,4385513.5,4220890.1,4556557.6
44000000,4396117.4,4230945.6,4567737.3
45000000,4406298.7,4240599.8,4578472.2
46000000,4416097.4,4249890.9,4588804
47000000,4425545,4258848.8,4598765.9
48000000,4434637.5,4267468.3,4608355.2
49000000,4443394.6,4275767.9,4617592.8
50000000,4451834.4,4283764.7,4626498.2
51000000,4459974.1,4291474.8,4635089.2
52000000,4467829.2,4298913.1,4643382.5
53000000,4475414.5,4306093.4,4651393.4
54000000,4482743.6,4313028.8,4659136.5
55000000,4489829.2,4319731.4,4666625
56000000,4496683.4,4326212.5,4673871.6
57000000,4503317.3,4332482.9,4680887.9
58000000,4509741.2,4338552.4,4687684.8
59000000,4515965.2,4344430.5,4694272.7
60000000,4521998.2,4350125.9,4700661.1
61000000,4527849.1,4355647,4706859.2
62000000,4533525.8,4361001.5,4712875.3
63000000,4539036.1,4366196.9,4718717.4
64000000,4544387.3,4371239.9,4724393.1
65000000,4549586,4376137.1,4729909.5
66000000,4554638.7,4380894.7,4735273.3
67000000,4559551.5,4385518.5,4740490.7
68000000,4564330.1,4390014,4745567.8
69000000,4568979.9,4394386.4,4750510.1
70000000,4573506.1,4398640.7,4755323.1
71000000,4577913.5,4402781.6,4760011.7
72000000,4582206.8,4406813.4,4764580.9
73000000,4586390.3,4410740.4,4769035.1
74000000,4590468.1,4414566.6,4773378.7
75000000,4594444.4,4418295.7,4777615.7
76000000,4598322.7,4421931.5,4781750.1
77000000,4602106.6,4425477.2,4785785.6
78000000,4605799.7,4428936.3,4789725.8
79000000,4609405,4432311.8,4793574
80000000,4612925.7,4435606.6,4797333.3
81000000,4616364.7,4438823.7,4801007
82000000,4619724.9,4441965.7,4804597.8
83000000,4623008.9,4445035.1,4808108.6
84000000,4626219.3,4448034.5,4811542.1
85000000,4629358.6,4450966.2,4814900.8
86000000,4632429,4453832.5,4818187.1
87000000,4635432.8,4456635.4,4821403.4
88000000,4638372.2,4459377.1,4824551.8
89000000,4641249.1,4462059.6,4827634.6
90000000,4644065.7,4464684.6,4830653.8
91000000,4646823.7,4467254.1,4833611.4
92000000,4649525,4469769.8,4836509.1
93000000,4652171.2,4472233.2,4839348.9
94000000,4654764.1,4474646.1,4842132.5
95000000,4657305.3,4477009.9,4844861.5
96000000,4659796.3,4479326.2,4847537.5
97000000,4662238.5,4481596.2,4850162.1
98000000,4664633.4,4483821.5,4852736.7
99000000,4666982.4,4486003.2,4855262.8
100000000,4669286.7,4488142.7,4857741.8
101000000,4671547.6,4490241.2,4860174.8
102000000,4673766.4,4492299.8,4862563.4
103000000,4675944.1,4494319.6,4864908.5
104000000,4678082,4496301.7,4867211.5
105000000,4680181.1,4498247.2,4869473.4
106000000,4682242.4,4500157,4871695.3
107000000,4684267,4502032.1,4873878.4
108000000,4686255.8,4503873.5,4876023.6
109000000,4688209.8,4505682.1,4878131.9
110000000,4690129.9,4507458.6,4880204.2
111000000,4692017,4509204,4882241.5
112000000,4693871.8,4510919.1,4884244.7
113000000,4695695.3,4512604.6,4886214.6
114000000,4697488.2,4514261.3,4888152
115000000,4699251.2,4515889.9,4890057.7
116000000,4700985.2,4517491.1,4891932.6
117000000,4702690.8,4519065.6,4893777.3
118000000,4704368.7,4520614.1,4895592.6
119000000,4706019.6,4522137.2,4897379.1
120000000,4707644.1,4523635.5,4899137.7
121000000,4709242.9,4525109.6,4900868.9
122000000,4710816.6,4526560.1,4902573.3
123000000,4712365.7,4527987.6,4904251.6
124000000,4713890.8,4529392.5,4905904.4
125000000,4715392.5,4530775.5,4907532.2
126000000,4716871.3,4532136.9,4909135.7
127000000,4718327.8,4533477.5,4910715.3
128000000,4719762.4,4534797.5,4912271.6
129000000,4721175.6,4536097.4,4913805.2
130000000,4722567.9,4537377.8,4915316.4
131000000,4723939.8,4538639,4916805.9
132000000,4725291.6,4539881.5,4918274
133000000,4726624,4541105.7,4919721.2
134000000,4727937.1,4542312,4921148
135000000,4729231.6,4543500.7,4922554.8
136000000,4730507.7,4544672.3,4923942
137000000,4731765.8,4545827.2,4925310
138000000,4733006.4,4546965.6,4926659.3
139000000,4734229.8,4548087.9,4927990.1
140000000,4735436.4,4549194.5,4929303
141000000,4736626.4,4550285.6,4930598.1
142000000,4737800.3,4551361.7,4931876
143000000,4738958.3,4552423,4933137
144000000,4740100.9,4553469.8,4934381.3
145000000,4741228.2,4554502.4,4935609.3
146000000,4742340.5,4555521.1,4936821.4
147000000,4743438.3,4556526.1,4938017.8
148000000,4744521.8,4557517.9,4939198.8
149000000,4745591.2,4558496.5,4940364.8
150000000,4746646.8,4559462.2,4941516
151000000,4747688.9,4560415.4,4942652.8
152000000,4748717.8,4561356.3,4943775.3
153000000,4749734.4,4562285.8,4944884.6
154000000,4750739.2,4563204.3,4945981.1
155000000,4751731.4,4564111.2,4947064.2
156000000,4752711.3,4565006.6,4948134
157000000,4753679.1,4565890.8,4949190.8
158000000,4754635,4566763.9,4950235
159000000,4755579.3,4567626.2,4951266.6
160000000,4756512.2,4568477.9,4952285.9
161000000,4757433.9,4569319.1,4953293.1
162000000,4758344.5,4570150.1,4954288.5
